,EXODUS,SLAYER,BPTT
forward,"[0.01486509186880929, 0.014796018600463867, 0.014851649602254232]","[0.06419039529467387, 0.06472357871040466, 0.06452412832350958]","[0.1263686361766997, 0.43956920835706925, 0.43828587304978145]"
backward,"[0.026282526197887603, 0.026176778097001332, 0.02624820149134076]","[0.021290150899735707, 0.02125804764883859, 0.02124468107072134]","[0.23764876713828434, 0.2388761762588743, 0.2393546293652247]"
reset,"[0.0003342514946347191, 0.00033349082583472844, 0.0003383878677610367]","[nan, nan, nan]","[0.00024022753276522197, 0.00023123574635339162, 0.00023172772119915675]"
