,algorithm,time,step
0,EXODUS,0.14797360861479347,forward
1,EXODUS,0.147207651565324,forward
2,EXODUS,0.14722322705966323,forward
3,SLAYER,0.24548041642601812,forward
4,SLAYER,0.24598982796740176,forward
5,SLAYER,0.2469064406494596,forward
6,BPTT,1.9651492496034992,forward
7,BPTT,0.47380238860400753,forward
8,BPTT,0.47321000739709657,forward
9,EXODUS,0.08999730224040017,backward
10,EXODUS,0.08936906216749504,backward
11,EXODUS,0.08953407629212337,backward
12,SLAYER,0.10526144326622806,backward
13,SLAYER,0.10536161821279953,backward
14,SLAYER,0.10562058705002514,backward
15,BPTT,1.4840248058091348,backward
16,BPTT,1.4858691870276608,backward
17,BPTT,1.4859418299660754,backward
18,EXODUS,0.00031703621593873893,reset
19,EXODUS,0.00028452232702454524,reset
20,EXODUS,0.00027623817102232976,reset
21,SLAYER,1.0526002343021223e-05,reset
22,SLAYER,9.860565413289995e-06,reset
23,SLAYER,1.0059840643583839e-05,reset
24,BPTT,0.0002001648518576551,reset
25,BPTT,0.00020605058812383394,reset
26,BPTT,0.00020919273148721723,reset
