,BPTT,EXODUS,SLAYER
0,134.40062642097473,33.10723638534546,41.88659429550171
1,153.9520206451416,32.9394645690918,42.04853415489197
2,133.86446690559387,32.82897686958313,41.77384114265442
3,173.9713351726532,33.161844968795776,41.785696268081665
4,152.58813524246216,33.20194602012634,43.43426585197449
5,154.4206964969635,34.797560930252075,47.28016257286072
6,153.35394263267517,33.697672605514526,41.429582595825195
7,134.63602352142334,33.30844807624817,41.610926389694214
8,176.351313829422,33.819270849227905,41.623676776885986
9,153.5060851573944,33.154074907302856,42.233927488327026
