,EXODUS,SLAYER,BPTT
forward,"[0.14797360861479347, 0.147207651565324, 0.14722322705966323]","[0.24548041642601812, 0.24598982796740176, 0.2469064406494596]","[1.9651492496034992, 0.47380238860400753, 0.47321000739709657]"
backward,"[0.08999730224040017, 0.08936906216749504, 0.08953407629212337]","[0.10526144326622806, 0.10536161821279953, 0.10562058705002514]","[1.4840248058091348, 1.4858691870276608, 1.4859418299660754]"
reset,"[0.00031703621593873893, 0.00028452232702454524, 0.00027623817102232976]","[1.0526002343021223e-05, 9.860565413289995e-06, 1.0059840643583839e-05]","[0.0002001648518576551, 0.00020605058812383394, 0.00020919273148721723]"
