,EXODUS,SLAYER,BPTT
forward,"[0.00458944833884805, 0.0046365113581641245, 0.004577502153687558]","[0.03669062893269426, 0.036522532721697275, 0.03640147346561238]","[0.11102357718904139, 0.12929943274643463, 0.12954368874178093]"
backward,"[0.009592642420429294, 0.009626435627371577, 0.009586157233028088]","[0.011421133704104665, 0.011384445933972375, 0.011345365694013693]","[0.1670258035094051, 0.1658001893657749, 0.1654185699204267]"
reset,"[0.00030684127645977475, 0.00030912241693270407, 0.00030278755446611826]","[nan, nan, nan]","[0.00020329891625097242, 0.00022070670531967938, 0.00021189976546723963]"
